,Predicted
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,1
